sa2_name_2016, yr, labour_force_status_persons_aged_15_years_census_employed_num, sa2_maincode_2016
"Endeavour Hills - North",2016,5384,"212021453"
"Pearcedale - Tooradin",2016,3906,"212031308"
"East Melbourne",2016,3031,"206041119"
"Altona Meadows",2016,8906,"213021342"
"Flemington Racecourse",2016,38,"206041120"
"Melbourne",2016,15847,"206041122"
"Armadale",2016,4828,"206061135"
"Collingwood",2016,4711,"206071141"
"Sunbury",2016,6294,"210041240"
"Sunbury - South",2016,13240,"210041241"
"Fitzroy",2016,5427,"206071142"
"South Yarra - West",2016,3377,"206041125"
"Aspendale Gardens - Waterways",2016,4672,"208031183"
"West Melbourne",2016,null,"206041127"
"Brunswick",2016,15111,"206011105"
"Brunswick East",2016,6655,"206011106"
"Brunswick West",2016,7390,"206011107"
"Coburg",2016,13246,"206011108"
"Pascoe Vale South",2016,4851,"206011109"
"Cheltenham - Highett (West)",2016,5435,"208011171"
"Alphington - Fairfield",2016,4921,"206021110"
"Surrey Hills (East) - Mont Albert",2016,5098,"207031167"
"Blackburn South",2016,4705,"207031162"
"Northcote",2016,13574,"206021111"
"Thornbury",2016,9806,"206021112"
"Prahran - Windsor",2016,12157,"206061136"
"Flemington",2016,4631,"206031115"
"Ascot Vale",2016,7609,"206031113"
"Carlton",2016,6501,"206041117"
"Essendon - Aberfeldie",2016,14671,"206031114"
"Moonee Ponds",2016,7599,"206031116"
"Docklands",2016,5898,"206041118"
"Kensington (Vic.)",2016,6294,"206041121"
"Parkville",2016,3503,"206041124"
"North Melbourne",2016,9952,"206041123"
"Southbank",2016,10711,"206041126"
"Elwood",2016,9276,"206051129"
"Albert Park",2016,8083,"206051128"
"Port Melbourne",2016,8931,"206051130"
"Port Melbourne Industrial",2016,13,"206051131"
"South Melbourne",2016,6116,"206051132"
"St Kilda East",2016,9924,"206051134"
"St Kilda",2016,15372,"206051133"
"South Yarra - East",2016,12487,"206061137"
"Toorak",2016,6545,"206061138"
"Carlton North - Princes Hill",2016,5039,"206071140"
"Abbotsford",2016,5171,"206071139"
"Fitzroy North",2016,7038,"206071143"
"Chelsea Heights",2016,2612,"208031187"
"Richmond (Vic.)",2016,18752,"206071144"
"Yarra - North",2016,5084,"206071145"
"Hawthorn East",2016,8107,"207011152"
"Ashburton (Vic.)",2016,3659,"207011146"
"Kew",2016,12255,"207011153"
"Balwyn",2016,7076,"207011147"
"Balwyn North",2016,9234,"207011148"
"Doncaster",2016,8942,"207021157"
"Camberwell",2016,10156,"207011149"
"Templestowe",2016,7602,"207021159"
"Glen Iris - East",2016,8263,"207011150"
"Box Hill North",2016,8186,"207031164"
"Hawthorn",2016,12610,"207011151"
"Kew East",2016,3159,"207011154"
"Surrey Hills (West) - Canterbury",2016,7747,"207011155"
"Doncaster East (South)",2016,5923,"207021425"
"Bulleen",2016,4921,"207021156"
"Templestowe Lower",2016,5883,"207021160"
"Blackburn",2016,10104,"207031161"
"Doncaster East (North)",2016,6754,"207021424"
"Burwood East",2016,4471,"207031166"
"Box Hill",2016,8852,"207031163"
"Burwood",2016,4895,"207031165"
"Beaumaris",2016,6422,"208011168"
"Brighton (Vic.)",2016,10461,"208011169"
"Elsternwick",2016,5965,"208021179"
"Brighton East",2016,7322,"208011170"
"Hampton",2016,8438,"208011172"
